UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
1;STRECHED;SITTING;THREE;0;350;15;3,031089;0,1299038;0,851;5,411119;0,9931306;2,299606;1,729232;2,032;0,3398255
1;STRECHED;SITTING;THREE;1;350;30;3,031089;0,2598076;0,6216667;5,892169;1,00844;2,850378;1,936033;3,114263;0,3450642
1;STRECHED;SITTING;THREE;2;150;50;1,299038;0,4330127;0,4953333;4,037685;0,9420413;1,580722;1,421143;2,869063;0,3223439
1;STRECHED;SITTING;THREE;3;350;50;3,031089;0,4330127;0,5903333;5,081874;0,9535223;2,605262;1,900046;3,218598;0,3262725
1;STRECHED;SITTING;THREE;4;150;30;1,299038;0,2598076;0,5106667;5,061937;0,4321901;1,536312;2,187361;4,283343;0,1478851
1;STRECHED;SITTING;THREE;5;150;15;1,299038;0,1299038;0,5113333;6,765512;0,302231;1,221353;2,333746;4,56404;0,1034162
1;APPLIED;SITTING;SIX;0;350;50;3,031089;0,4330127;0,5443333;5,511329;0,8526793;2,003002;1,74376;3,203478;0,2917664
1;APPLIED;SITTING;SIX;1;150;15;1,299038;0,1299038;0,5296667;6,531337;0,6045327;1,506333;1,803943;3,405807;0,2068566
1;APPLIED;SITTING;SIX;2;350;30;3,031089;0,2598076;0,6293333;5,820389;0,4879715;2,664374;2,691557;4,276838;0,1669722
1;APPLIED;SITTING;SIX;3;150;30;1,299038;0,2598076;0,5963333;4,334761;0,6284208;1,478243;1,745157;2,926479;0,2150306
1;APPLIED;SITTING;SIX;4;350;15;3,031089;0,1299038;0,6226667;7,395388;0,7923312;2,762962;2,165793;3,478254;0,2711167
1;APPLIED;SITTING;SIX;5;150;50;1,299038;0,4330127;0,478;4,184101;0,7322611;1,545553;1,63722;3,425146;0,2505622
