UserId;ConditionHash;TaskNo;CircleNo;TargetNo;ArmPos;BodyPos;DOF;ballistic;timestamp;event;state;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;TriggerValue;ControllerPos.X;ControllerPos.Y;ControllerPos.Z;ControllerRot.X;ControllerRot.Y;ControllerRot.Z;TargetPos.X;TargetPos.Y;TargetPos.Z;PointerPos.X;PointerPos.Y
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389020;Position;SHOW_TARGET;350;15;3,031089;0,1299038;0,7137255;0,3447133;0,8302582;0,4293625;351,8675;1,673232;5,616943;0;2,73;8;0,5657185;1,911853
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389030;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0,09019608;0,3447133;0,8302582;0,4293625;352,3406;1,617082;5,783946;0;2,73;8;0,5582981;1,848123
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389041;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;352,8003;1,650265;5,897135;0;2,73;8;0,5626834;1,786376
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389052;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;353,2423;1,659489;5,401137;0;2,73;8;0,5639024;1,727114
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389063;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;353,4338;1,745432;4,195875;0;2,73;8;0,5752607;1,70151
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389075;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;353,6896;1,731753;3,196808;0;2,73;8;0,5734528;1,66728
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389086;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;353,9518;1,651743;2,565816;0;2,73;8;0,5628786;1,632204
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389097;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;354,1992;1,252025;2,901652;0;2,73;8;0,5100636;1,599033
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389108;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;354,3191;0,9950245;3,063899;0;2,73;8;0,4761149;1,582977
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389119;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;354,2333;0,7822858;2,938414;0;2,73;8;0,4480169;1,594373
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389130;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;354,1543;0,5255001;2,939031;0;2,73;8;0,4141051;1,604873
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389141;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;354,1837;0,3888525;2,937241;0;2,73;8;0,3960603;1,600945
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389152;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;354,265;0,5299291;2,734061;0;2,73;8;0,41469;1,590115
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389163;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;354,2391;0,7864069;2,204068;0;2,73;8;0,4485612;1,593601
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389174;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;354,022;0,9441106;1,761737;0;2,73;8;0,46939;1,622607
1;1186530893;0;0;0;STRECHED;SITTING;THREE;True;1553695389185;Position;WAIT_FOR_BALLISTIC;350;15;3,031089;0,1299038;0;0,3447133;0,8302582;0,4293625;353,7675;1,04607;1,443614;0;2,73;8;0,4828572;1,656636
