Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z
0,4390078;0,8015092;0,6858411;345,9176;17,37511;359,0692
0,4390255;0,8015124;0,6858071;345,9191;17,37827;359,0673
0,4390353;0,8015121;0,6857661;345,9163;17,37707;359,0708
0,439212;0,8014171;0,686456;345,9553;17,37221;359,0667
0,4392155;0,8014037;0,6865038;345,9555;17,37098;359,0632
0,4392383;0,8013881;0,6865551;345,9534;17,37258;359,0641
0,4389892;0,8015404;0,6863064;345,9381;17,37556;359,057
0,4389834;0,8015663;0,6863143;345,9341;17,37739;359,0613
0,4389657;0,8015665;0,6863332;345,9383;17,37149;359,068
0,4391363;0,8015356;0,6859261;345,9182;17,38463;359,0533
0,4391546;0,801543;0,6859117;345,9186;17,3848;359,0531
0,4391668;0,8015445;0,6858847;345,9166;17,38566;359,0509
0,4390361;0,8013527;0,6863892;345,9524;17,37376;359,059
0,4390531;0,8013356;0,6864203;345,9528;17,37345;359,0631
0,4390678;0,8013192;0,6864748;345,9569;17,37157;359,0638
0,4387739;0,8013352;0,6860461;345,9288;17,38235;359,0632
0,4387584;0,801343;0,6860468;345,9291;17,38073;359,0667
0,4387577;0,8013484;0,6860411;345,9294;17,38478;359,0682
0,4388869;0,8012064;0,6859667;345,9309;17,39097;359,0586
0,4388928;0,8012073;0,6859712;345,9309;17,3911;359,0622
0,4389167;0,8015141;0,686344;345,9581;17,37755;359,0802
0,4388634;0,8012555;0,6864057;345,953;17,37796;359,075
0,4388508;0,8012397;0,686453;345,9529;17,37548;359,0793
0,4388437;0,8012142;0,6865039;345,9565;17,37349;359,082
0,4385805;0,8010582;0,6858687;345,9233;17,39218;359,073
0,4385567;0,8010576;0,6858681;345,9258;17,38059;359,0756
0,4386725;0,8013366;0,6860689;345,9394;17,38313;359,0877
0,4390815;0,8014451;0,6862751;345,9436;17,37946;359,0789
0,4390812;0,8014401;0,6862931;345,9458;17,37578;359,081
0,4390913;0,8014293;0,6863168;345,9465;17,37768;359,0785
0,4389565;0,8014207;0,686373;345,9432;17,37109;359,0811
0,4389573;0,8014281;0,6863875;345,9376;17,37033;359,0845
0,4389845;0,8014165;0,6864115;345,9396;17,37775;359,0729
0,4390724;0,8014734;0,6859457;345,9221;17,38425;359,0735
0,4390935;0,8014684;0,685918;345,925;17,38662;359,0655
0,4391052;0,8014742;0,6858816;345,9249;17,38661;359,0707
0,4389567;0,8013239;0,6861651;345,9391;17,37918;359,0741
0,4389604;0,8013195;0,6861603;345,9399;17,37854;359,0718
0,4391166;0,8015021;0,686273;345,9461;17,38142;359,0721
0,4390734;0,8015701;0,6862299;345,9294;17,37454;359,069
0,4390815;0,8015792;0,6862399;345,9329;17,37363;359,0737
0,4391003;0,8015797;0,6862557;345,9371;17,37759;359,0668
0,439333;0,8016732;0,686125;345,9274;17,37947;359,0565
0,43938;0,8016698;0,6861065;345,9252;17,38295;359,0609
0,4394062;0,8016682;0,6861008;345,9312;17,38171;359,0629
0,4395104;0,8019323;0,6865642;345,9452;17,37281;359,0703
0,4395133;0,8019133;0,6866074;345,9495;17,36607;359,0767
0,4396563;0,801913;0,6865383;345,9496;17,37912;359,0697
0,439676;0,8019148;0,6865624;345,95;17,37731;359,0685
0,4395021;0,8020517;0,6863772;345,924;17,36989;359,075
0,4395052;0,8020593;0,6863908;345,9239;17,3679;359,0733
0,439742;0,8019443;0,686353;345,9296;17,36876;359,07
0,4397738;0,8019578;0,6863544;345,9278;17,37114;359,0723
0,4398148;0,8019644;0,6863564;345,9341;17,37347;359,0742
0,4395611;0,8019664;0,6864704;345,9311;17,36098;359,0818
0,4395845;0,8019719;0,6864916;345,9354;17,36512;359,0819
0,4396012;0,8019708;0,6864977;345,9322;17,36519;359,0822
0,4393073;0,8018519;0,6861817;345,9129;17,36579;359,0805
0,4393017;0,8018708;0,686166;345,9125;17,36577;359,0873
0,4393014;0,8019014;0,6861563;345,9115;17,36983;359,0847
0,4397559;0,802034;0,6864513;345,9276;17,36129;359,0899
0,4397773;0,802037;0,6864735;345,9287;17,36261;359,0888
0,4397954;0,8020516;0,6864885;345,9304;17,36295;359,091
0,4395477;0,8020715;0,6864445;345,9209;17,36402;359,0939
0,4395436;0,8020791;0,686463;345,9236;17,36149;359,0966
0,4395459;0,8020879;0,6864775;345,9255;17,36391;359,0945
0,4393661;0,8019152;0,6862105;345,9117;17,37076;359,0855
0,4393541;0,8019292;0,6862061;345,9098;17,36717;359,0881
0,439368;0,8019379;0,6861876;345,9129;17,37369;359,086
0,4393679;0,80213;0,6863897;345,9247;17,36584;359,0931
0,4392673;0,8018217;0,6864293;345,9188;17,36952;359,0858
0,4392471;0,8018125;0,6864592;345,9207;17,36744;359,0869
0,4393863;0,8018703;0,6864463;345,9293;17,3737;359,0822
0,4391052;0,8016704;0,6863209;345,9156;17,37261;359,0789
0,4390859;0,8016665;0,6863314;345,9158;17,36968;359,0768
0,4390722;0,8016709;0,6863389;345,9134;17,3718;359,08
0,4389052;0,8014231;0,6860096;345,9019;17,38555;359,0641
0,4388784;0,8014082;0,6859993;345,9051;17,38204;359,0716
0,4388416;0,8013771;0,686206;345,9108;17,38128;359,0675
0,4388246;0,8013521;0,6862272;345,9148;17,37932;359,0701
0,4388182;0,8013318;0,6862429;345,9134;17,3788;359,0692
0,4387102;0,8011288;0,6860822;345,9045;17,39019;359,0576
0,4386941;0,8010988;0,6860917;345,907;17,38614;359,0586
0,4386846;0,8010873;0,6860825;345,903;17,39031;359,054
0,4388173;0,8013352;0,686247;345,9194;17,38704;359,062
0,4388142;0,801375;0,6862256;345,9027;17,38137;359,0654
0,4387932;0,801366;0,6862321;345,9031;17,3778;359,0659
0,4389414;0,8014694;0,6862465;345,9096;17,38375;359,0676
0,4387242;0,8012206;0,6861684;345,9043;17,37733;359,0652
0,4387103;0,8012139;0,686161;345,8961;17,38278;359,0633
0,4387801;0,8010996;0,6860518;345,8977;17,39516;359,0509
0,4387618;0,8010581;0,6860487;345,8997;17,38969;359,0534
0,4387639;0,8010161;0,686046;345,9037;17,39198;359,0576
0,4388684;0,8012055;0,6861806;345,9007;17,38578;359,0592
0,4388527;0,8011891;0,6861807;345,9003;17,38394;359,0626
0,438837;0,80117;0,6861777;345,9014;17,38378;359,0654
0,4390037;0,8013786;0,6861092;345,8962;17,38189;359,0663
0,4389921;0,8013662;0,6860912;345,8961;17,37934;359,0699
