UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
10;APPLIED;SITTING;SIX;0;350;15;3,474481;0,1489063;1,070615;4,301135;0,8995912;3,257798;2,208336;2,062679;0,7539984
10;APPLIED;SITTING;SIX;1;350;30;3,474481;0,2978127;0,9776154;3,746836;1,401107;3,352811;1,76255;1,802907;1,174347
10;APPLIED;SITTING;SIX;2;150;50;1,489063;0,4963545;0,733;2,728513;0,656776;1,503645;1,717839;2,343574;0,5504812
10;APPLIED;SITTING;SIX;3;350;50;3,474481;0,4963544;0,9134616;3,28421;2,044951;3,257967;1,37472;1,504957;1,71399
10;APPLIED;SITTING;SIX;4;150;30;1,489063;0,2978127;0,8635384;2,993454;0,9327638;1,482079;1,372346;1,589212;0,7818022
10;APPLIED;SITTING;SIX;5;150;15;1,489063;0,1489063;0,9766923;3,541987;0,5373446;1,441077;1,88043;1,925305;0,450379
10;APPLIED;SITTING;THREE;0;350;50;3,474481;0,4963544;0,9142308;3,281447;1,919132;3,271761;1,435529;1,570204;1,608533
10;APPLIED;SITTING;THREE;1;150;15;1,489063;0,1489063;0,9942307;3,479506;1,202621;1,503242;1,169907;1,176695;1,007985
10;APPLIED;SITTING;THREE;2;350;30;3,474481;0,2978127;1,143923;3,202108;1,085529;3,304503;2,015833;1,76221;0,9098437
10;APPLIED;SITTING;THREE;3;150;30;1,489063;0,2978127;0,7782308;3,321589;0,9920024;1,537682;1,350542;1,735401;0,8314534
10;APPLIED;SITTING;THREE;4;350;15;3,474481;0,1489063;1,077769;4,272586;1,437567;3,2986;1,720091;1,595973;1,204906
10;APPLIED;SITTING;THREE;5;150;50;1,489063;0,4963545;0,6945385;2,87961;0,8760427;1,556059;1,473131;2,121021;0,734261
10;STRECHED;SITTING;THREE;0;150;30;1,489063;0,2978127;0,7879231;3,28073;1,010749;1,38066;1,242436;1,57685;0,8471658
10;STRECHED;SITTING;THREE;1;150;50;1,489063;0,4963545;0,6634616;3,014493;1,395817;1,339094;0,9703841;1,462608;1,169913
10;STRECHED;SITTING;THREE;2;150;15;1,489063;0,1489063;0,9142308;3,783981;0,6774901;1,427259;1,635376;1,7888;0,5678428
10;STRECHED;SITTING;THREE;3;350;15;3,474481;0,1489063;1,201077;3,833944;1,055296;3,369579;2,067989;1,721779;0,8845036
10;STRECHED;SITTING;THREE;4;350;50;3,474481;0,4963544;0,8689231;3,45255;1,40921;3,450821;1,786079;2,055508;1,181139
10;STRECHED;SITTING;THREE;5;350;30;3,474481;0,2978127;1,004308;3,647253;1,025674;3,471631;2,132488;2,123342;0,8596754
10;STRECHED;STANDING;SIX;0;350;15;3,474481;0,1489063;1,043923;4,411112;0,8172122;3,261675;2,319393;2,221805;0,6849519
